web-scraper-order,web-scraper-start-url,procesor,procesor-href,Nazwa,Socket,Image-src,Frequency,Cache,Cores,Cena
"1697884278-55","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1101205-procesor-intel-core-i7-intel-core-i7-13700f.html","Intel Core i7-13700F","Socket 1700","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/1/pr_2023_1_2_9_15_18_935_00.jpg","2.1 GHz","30 MB","16 rdzeni","1 899,00 zł"
"1697884282-56","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1079412-procesor-amd-ryzen-3-amd-ryzen-3-4300g.html","AMD Ryzen 3 4300G","Socket AM4","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/4/pr_2022_4_4_12_45_38_587_00.jpg","3.8 GHz","6 MB","4 rdzenie","399,00 zł"
"1697884285-57","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1179922-procesor-intel-core-i7-intel-core-i7-14700kf.html","Intel Core i7-14700KF","Socket 1700","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/10/pr_2023_10_12_9_51_59_784_00.jpg","3.4 GHz","33 MB","20 rdzeni","2 099,00 zł"
"1697884288-58","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1072717-procesor-amd-ryzen-7-amd-ryzen-7-7700x.html","AMD Ryzen 7 7700X","Socket AM5","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/1/pr_2023_1_25_12_59_59_528_00.jpg","4.5 GHz","40 MB","8 rdzeni","1 619,00 zł"
"1697884292-59","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1179896-procesor-intel-core-i9-intel-core-i9-14900k.html","Intel Core i9-14900K","Socket 1700","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/10/pr_2023_10_12_8_43_7_810_00.jpg","3.2 GHz","36 MB","24 rdzenie","3 049,00 zł"
"1697884295-60","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/745026-procesor-amd-ryzen-5-amd-ryzen-5-4600g.html","AMD Ryzen 5 4600G","Socket AM4","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/4/pr_2022_4_4_12_7_15_889_00.jpg","3.7 GHz","11 MB","6 rdzeni","499,00 zł"
"1697884299-61","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/702235-procesory-intel-core-i5-intel-core-i5-12400.html","Intel Core i5-12400","Socket 1700","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/12/pr_2021_12_23_9_30_34_58_00.jpg","2.5 GHz","18 MB","6 rdzeni","869,00 zł"
"1697884302-62","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/735702-procesor-amd-ryzen-5-amd-ryzen-5-4500.html","AMD Ryzen 5 4500","Socket AM4","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/4/pr_2022_4_4_12_7_15_889_00.jpg","3.6 GHz","11 MB","6 rdzeni","349,00 zł"
"1697884306-63","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1073569-procesor-intel-core-i9-intel-core-i9-13900kf.html","Intel Core i9-13900KF","Socket 1700","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/9/pr_2022_9_27_11_45_44_663_00.jpg","3.0 GHz","36 MB","24 rdzenie","2 849,00 zł"
"1697884311-64","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1117003-procesor-amd-ryzen-9-amd-ryzen-9-7950x3d.html","AMD Ryzen 9 7950X3D","Socket AM5","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/2/pr_2023_2_24_14_19_6_20_00.jpg","4.2 GHz","144 MB","16 rdzeni","3 199,00 zł"
"1697884315-65","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1075152-procesor-intel-core-i9-intel-core-i9-13900k.html","Intel Core i9-13900K","Socket 1700","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/9/pr_2022_9_27_12_7_39_600_00.jpg","3.0 GHz","36 MB","24 rdzenie","2 949,00 zł"
"1697884319-66","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/564465-procesory-intel-core-i5-intel-core-i5-10400f.html","Intel Core i5-10400F","Socket 1200","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/5/pr_2020_5_6_15_54_11_386_00.jpg","2.9 GHz","12 MB","6 rdzeni","489,00 zł"
"1697884322-67","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/665238-procesor-amd-ryzen-7-amd-ryzen-7-5700g.html","AMD Ryzen 7 5700G","Socket AM4","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/8/pr_2021_8_4_13_57_4_57_00.jpg","3.8 GHz","20 MB","8 rdzeni","869,00 zł"
