web-scraper-order,web-scraper-start-url,link,link-href,name,cena,chipset,memoery,memorytype,image-src
"1698054274-102","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/1130786-karta-graficzna-nvidia-inno3d-geforce-rtx-4070-x2-oc-12gb-gddr6x.html","Inno3D GeForce RTX 4070 X2 OC 12GB GDDR6X","2 999,00 zł","GeForce RTX 4070","12 GB","GDDR6X","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/4/pr_2023_4_12_12_1_42_827_01.jpg"
"1698054280-103","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/1142176-karta-graficzna-nvidia-asus-geforce-rtx-4070-ti-rog-strix-gaming-12gb-gddr6x.html","ASUS GeForce RTX 4070 TI ROG STRIX GAMING 12GB GDDR6X","4 999,00 zł","GeForce RTX 4070 Ti","12 GB","GDDR6X","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/6/pr_2023_6_20_12_44_36_371_00.jpg"
"1698054286-104","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/1146015-karta-graficzna-nvidia-msi-geforce-rtx-4060-ti-gaming-x-trio-8g-gddr6.html","MSI GeForce RTX 4060 Ti Gaming X Trio 8G GDDR6","2 349,00 zł","GeForce RTX 4060 Ti","8 GB","GDDR6","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/5/pr_2023_5_22_15_35_53_856_00.jpg"
"1698054291-105","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/1147815-karta-graficzna-amd-asrock-radeon-rx-7600-phantom-gaming-oc-8g-gddr6.html","ASRock Radeon RX 7600 Phantom Gaming  OC 8G GDDR6","1 439,00 zł","Radeon™ RX 7600","8 GB","GDDR6","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/5/pr_2023_5_25_15_10_0_64_00.jpg"
"1698054297-106","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/1156755-karta-graficzna-nvidia-pny-geforce-rtx-4060-xlr8-gaming-verto-8gb-gddr6.html","PNY GeForce RTX 4060 XLR8 Gaming VERTO 8GB GDDR6","1 679,00 zł","GeForce RTX 4060","8 GB","GDDR6","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/6/pr_2023_6_28_10_33_12_201_00.jpg"
"1698054302-107","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/1184222-karta-graficzna-nvidia-pny-rtx-4070-xlr8-gaming-verto-epic-x-rg-12gb-gddr6x.html","PNY RTX 4070 XLR8 Gaming Verto EPIC-X RG 12GB GDDR6X","3 149,00 zł","GeForce RTX 4070","12 GB","GDDR6X","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/9/pr_2023_9_29_14_48_52_425_00.jpg"
"1698054309-108","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/1083466-karta-graficzna-nvidia-gigabyte-geforce-rtx-4080-aorus-master-16gb-gddrx6.html","Gigabyte GeForce RTX 4080 AORUS MASTER 16GB GDDRX6","7 299,00 zł","GeForce RTX 4080","16 GB","GDDR6X","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/11/pr_2022_11_9_9_57_51_948_00.jpg"
"1698054316-109","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/1085982-karta-graficzna-nvidia-asus-geforce-rtx-4080-tuf-gaming-oc-16gb-gddr6x.html","ASUS GeForce RTX 4080 TUF Gaming OC 16GB GDDR6X","6 999,00 zł","GeForce RTX 4080","16 GB","GDDR6X","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/12/pr_2022_12_1_7_43_32_845_03.png"
"1698054325-110","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/1107143-karta-graficzna-nvidia-gainward-geforce-rtx-4080-phoenix-16gb-gddr6x.html","Gainward GeForce RTX 4080 Phoenix 16GB GDDR6X","5 999,00 zł","GeForce RTX 4080","16 GB","GDDR6X","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/1/pr_2023_1_12_7_32_19_361_06.jpg"
"1698054331-111","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/1146022-karta-graficzna-nvidia-inno3d-geforce-rtx-4060-ti-twin-white-x2-oc-8gb-gddr6.html","Inno3D GeForce RTX 4060 Ti Twin White X2 OC 8GB GDDR6","2 049,00 zł","GeForce RTX 4060 Ti","8 GB","GDDR6","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/5/pr_2023_5_24_8_38_41_559_00.jpg"
