web-scraper-order,web-scraper-start-url,link,link-href,name,price,capacity,interface,readspeed,writespeed,image-src
"1698420642-377","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/1043000-dysk-ssd-kioxia-1tb-m2-pcie-nvme-exceria-g2.html","KIOXIA 1TB M.2 PCIe NVMe EXCERIA G2","229,00 zł","1000 GB","PCIe NVMe 3.0 x4","2100 MB/s","1700 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/5/pr_2022_5_20_11_29_10_222_00.jpg"
"1698420646-378","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/1115318-dysk-ssd-lexar-500gb-m2-pcie-gen4-nvme-nm710.html","Lexar 500GB M.2 PCIe Gen4 NVMe NM710","169,00 zł","500 GB","PCIe NVMe 4.0 x4","5000 MB/s","2600 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/2/pr_2023_2_8_13_53_52_561_06.jpg"
"1698420652-379","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/623732-dysk-ssd-samsung-4tb-25-sata-ssd-870-evo.html","Samsung 4TB 2,5"" SATA SSD 870 EVO","1 299,00 zł","4000 GB","2,5"" SATA","560 MB/s","530 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/1/pr_2021_1_25_12_40_53_262_00.jpg"
"1698420656-380","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/1137172-dysk-ssd-micron-512gb-m2-2230-pcie-gen4-nvme-2400.html","Micron 512GB M.2 2230 PCIe Gen4 NVMe 2400","229,00 zł","512 GB","PCIe NVMe 4.0 x4","4200 MB/s","1800 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/4/pr_2023_4_18_10_11_7_713_00.jpg"
"1698420660-381","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/1137174-dysk-ssd-micron-1tb-m2-2230-pcie-gen4-nvme-2400.html","Micron 1TB M.2 2230 PCIe Gen4 NVMe 2400","389,00 zł","1000 GB","PCIe NVMe 4.0 x4","4500 MB/s","3600 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/4/pr_2023_4_18_10_11_7_713_00.jpg"
"1698420665-382","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/730788-dysk-ssd-adata-256gb-25-sata-ssd-ultimate-su650.html","ADATA 256GB 2,5"" SATA SSD Ultimate SU650","87,50 zł","256 GB","2,5"" SATA","520 MB/s","450 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/3/pr_2022_3_15_7_39_59_759_00.jpg"
"1698420669-383","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/734881-dysk-ssd-wd-1tb-m2-pcie-gen4-nvme-black-sn770.html","WD 1TB M.2 PCIe Gen4 NVMe Black SN770","289,00 zł","1000 GB","PCIe NVMe 4.0 x4","5150 MB/s","4900 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/3/pr_2022_3_28_13_47_9_339_02.jpg"
"1698420674-384","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/525236-dysk-ssd-wd-1tb-25-sata-ssd-red-sa500.html","WD 1TB 2,5"" SATA SSD Red SA500","359,00 zł","1000 GB","2,5"" SATA","560 MB/s","530 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2019/11/pr_2019_11_4_12_14_21_316_00.jpg"
"1698420678-385","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/1053875-dysk-ssd-crucial-2tb-m2-pcie-nvme-p3.html","Crucial 2TB M.2 PCIe NVMe P3","419,00 zł","2000 GB","PCIe NVMe 3.0 x4","3500 MB/s","3000 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/7/pr_2022_7_5_13_39_23_418_00.jpg"
"1698420682-386","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/1179493-dysk-ssd-goodram-2tb-25-sata-ssd-cx400.html","GOODRAM 2TB 2,5"" SATA SSD CX400","389,00 zł","2048 GB","2,5"" SATA","550 MB/s","500 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/9/pr_2020_9_9_11_23_36_983_00.jpg"
