web-scraper-order,web-scraper-start-url,link,link-href,name,price,power,standard,certificate,type,image-src
"1698054187-61","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/668543-zasilacz-do-komputera-1stcool-golden-worker-750w-80-plus-gold-bulk.html","1stCOOl Golden Worker 750W 80 Plus Gold BULK","419,00 zł","750 W","ATX","90% przy 230V oraz 20-100% obciążeniu.","80 PLUS Gold","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/8/pr_2021_8_31_14_51_28_65_00.jpg"
"1698054193-62","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/668563-zasilacz-do-komputera-evolveo-pulse-350w.html","Evolveo Pulse 350W","119,00 zł","350 W","ATX","Niecertyfikowany","Niemodularny","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/7/pr_2021_7_14_15_16_12_106_03.jpg"
"1698054198-63","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/668602-zasilacz-do-komputera-evolveo-pulse-450w.html","Evolveo Pulse 450W","149,00 zł","450 W","ATX","Niecertyfikowany","Niemodularny","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/7/pr_2021_7_14_15_44_24_45_03.jpg"
"1698054205-64","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/668605-zasilacz-do-komputera-evolveo-fx500-500w-80-plus.html","Evolveo FX500 500W 80 Plus","199,00 zł","500 W","ATX","82-85% przy 230V oraz 20-100% obciążeniu.","80 PLUS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/7/pr_2021_7_14_14_42_23_612_02.jpg"
"1698054211-65","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/668608-zasilacz-do-komputera-evolveo-fx550-550w-80-plus.html","Evolveo FX550 550W 80 Plus","209,00 zł","550 W","ATX","82-85% przy 230V oraz 20-100% obciążeniu.","80 PLUS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/7/pr_2021_7_14_14_55_36_50_01.jpg"
"1698054216-66","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/668651-zasilacz-do-komputera-crono-ps500-500w.html","Crono PS500 500W","189,00 zł","500 W","ATX","Niecertyfikowany","Niemodularny","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/8/pr_2021_8_17_12_14_40_355_01.jpg"
"1698054223-67","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/669030-zasilacz-do-komputera-thermaltake-toughpower-gf1-650w-80-plus-gold.html","Thermaltake Toughpower GF1 650W 80 Plus Gold","499,00 zł","650 W","ATX","90% przy 230V oraz 20-100% obciążeniu.","80 PLUS Gold","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/7/pr_2021_7_19_14_24_16_927_03.jpg"
"1698054229-68","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/670628-akcesorium-do-zasilacza-kolink-dual-multi-adapter.html","Kolink Dual Multi Adapter","49,00 zł","Adaptery","Zasilający","","","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/7/pr_2021_7_27_12_40_27_813_00.jpg"
"1698054235-69","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/670740-zasilacz-do-komputera-akyga-basic-700w.html","Akyga Basic 700W","169,00 zł","700 W","ATX",">70% przy 230V oraz 20-100% obciążeniu.","Niecertyfikowany","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/8/pr_2021_8_31_11_37_24_777_00.jpg"
"1698054241-70","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/670745-zasilacz-do-komputera-akyga-basic-950w.html","Akyga Basic 950W","249,00 zł","950 W","ATX",">70% przy 230V oraz 20-100% obciążeniu.","Niecertyfikowany","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/8/pr_2021_8_31_11_29_26_878_00.jpg"
"1698054247-71","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/670856-zasilacz-do-komputera-akyga-ultimate-1250w-80-plus-gold.html","Akyga Ultimate 1250W 80 Plus Gold","549,00 zł","1250 W","ATX",">90% przy 230V oraz 20-100% obciążeniu","80 PLUS Gold","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/7/pr_2021_7_28_9_0_37_746_00.jpg"
"1698054253-72","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/686373-zasilacz-do-komputera-eurocase-pico-150w.html","EuroCase Pico 150W","169,00 zł","150 W","92% przy 230V oraz 20-100% obciążeniu.","","","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/10/pr_2021_10_15_10_0_26_998_00.jpg"
"1698054259-73","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/686375-zasilacz-do-komputera-eurocase-pico-90w.html","EuroCase Pico 90W","119,00 zł","90 W","92% przy 230V oraz 20-100% obciążeniu.","","","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/10/pr_2021_10_14_8_5_8_610_00.jpg"
"1698054265-74","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/687016-zasilacz-do-komputera-seasonic-g12-850w-80-plus-gold.html","Seasonic G12 850W 80 Plus Gold","499,00 zł","850 W","ATX","87-90% przy 230V oraz 20-100% obciążeniu.","80 PLUS Gold","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/10/pr_2021_10_11_13_35_40_943_02.jpg"
"1698054272-75","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/690173-zasilacz-do-komputera-fractal-design-ion-2-560w-80-plus-platinum.html","Fractal Design Ion+ 2 560W 80 Plus Platinum","599,00 zł","560 W","ATX","80 PLUS Platinum","Modularny","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/10/pr_2021_10_19_7_30_30_884_02.jpg"
"1698054279-76","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/690176-zasilacz-do-komputera-fractal-design-ion-2-660w-80-plus-platinum.html","Fractal Design Ion+ 2 660W 80 Plus Platinum","699,00 zł","660 W","ATX","80 PLUS Platinum","Modularny","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/10/pr_2021_10_19_7_40_18_10_02.jpg"
"1698054354-88","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/708117-zasilacz-do-komputera-fsp-fortron-hydro-g-pro-750w-80-plus-gold.html","FSP/Fortron HYDRO G PRO 750W 80 Plus Gold","599,00 zł","750 W","ATX","90% przy 230V oraz 20-100% obciążeniu.","80 PLUS Gold","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/12/pr_2021_12_23_12_2_37_334_01.jpg"
"1698054361-89","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/708118-zasilacz-do-komputera-fsp-fortron-hydro-g-pro-850w-80-plus-gold.html","FSP/Fortron HYDRO G PRO 850W 80 Plus Gold","599,00 zł","850 W","ATX","90% przy 230V oraz 20-100% obciążeniu.","80 PLUS Gold","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/12/pr_2021_12_23_12_2_37_334_01.jpg"
"1698054367-90","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/708123-zasilacz-do-komputera-fsp-fortron-hydro-g-pro-650w-80-plus-gold.html","FSP/Fortron HYDRO G PRO 650W 80 Plus Gold","499,00 zł","650 W","ATX","90% przy 230V oraz 20-100% obciążeniu.","80 PLUS Gold","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/12/pr_2021_12_23_12_2_37_334_01.jpg"
"1698054376-91","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/723049-zasilacz-do-komputera-chieftec-polaris-1250w-80-plus-gold.html","Chieftec Polaris 1250W 80 Plus Gold","849,00 zł","1250 W","ATX","80 PLUS Gold","Modularny","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/2/pr_2022_2_14_11_45_53_571_01.jpg"
"1698054381-92","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/723871-zasilacz-do-komputera-thermaltake-irgb-1200w-80-plus-platinum.html","Thermaltake iRGB 1200W 80 Plus Platinum","1 399,00 zł","1200 W","ATX","94% przy 230V oraz 20-100% obciążeniu.","80 PLUS Platinum","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/2/pr_2022_2_16_13_12_39_596_06.jpg"
"1698054387-93","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/723874-zasilacz-do-komputera-thermaltake-toughpower-gf2-argb-750w-80-plus-gold.html","Thermaltake ToughPower GF2 ARGB 750W 80 Plus Gold","699,00 zł","750 W","ATX","80 PLUS Gold","Modularny","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/2/pr_2022_2_16_12_36_59_917_05.jpg"
"1698054393-94","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/723876-zasilacz-do-komputera-thermaltake-toughpower-gf2-argb-850w-80-plus-gold.html","Thermaltake ToughPower GF2 ARGB 850W 80 Plus Gold","749,00 zł","850 W","ATX","90% przy 230V oraz 20-100% obciążeniu.","80 PLUS Gold","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/2/pr_2022_2_16_12_46_19_736_05.jpg"
"1698054398-95","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/723886-zasilacz-do-komputera-thermaltake-toughpower-gf1-argb-650w-80-plus-gold.html","Thermaltake ToughPower GF1 ARGB 650W 80 Plus Gold","599,00 zł","650 W","ATX","90% przy 230V oraz 20-100% obciążeniu.","80 PLUS Gold","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/2/pr_2022_2_16_12_55_16_932_05.jpg"
"1698054405-96","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/728973-zasilacz-do-komputera-qoltec-gaming-miner-1600w-80-plus-platinum.html","Qoltec Gaming Miner 1600W 80 Plus Platinum","699,00 zł","1600 W","ATX","80 PLUS Platinum","Niemodularny","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/3/pr_2022_3_30_10_7_18_393_02.jpg"
"1698054413-97","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/728975-zasilacz-do-komputera-qoltec-gaming-miner-1800w-80-plus-platinum.html","Qoltec Gaming Miner 1800W 80 Plus Platinum","799,00 zł","1800 W","ATX","80 PLUS Platinum","Niemodularny","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/3/pr_2022_3_30_9_55_2_221_02.jpg"
"1698054418-98","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/728982-zasilacz-do-komputera-qoltec-pci-e-smart-1800w-80-plus-platinum.html","Qoltec PCI-E Smart 1800W 80 Plus Platinum","499,00 zł","1800 W","ATX","80 PLUS Platinum","Niemodularny","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/3/pr_2022_3_30_10_39_8_751_02.jpg"
"1698054425-99","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/728987-zasilacz-do-komputera-qoltec-pci-e-smart-1850w-80-plus-platinum.html","Qoltec PCI-E Smart 1850W 80 Plus Platinum","549,00 zł","1850 W","ATX","80 PLUS Platinum","Niemodularny","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/3/pr_2022_3_30_10_25_41_270_02.jpg"
"1698054430-100","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/741595-zasilacz-do-komputera-cooler-master-xg-plus-850w-80-plus-platinum.html","Cooler Master XG Plus 850W 80 Plus Platinum","1 249,00 zł","850 W","ATX","92% przy 230V oraz 20-100% obciążeniu.","80 PLUS Platinum","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/5/pr_2022_5_10_14_12_21_420_00.jpg"
"1698054437-101","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/741597-zasilacz-do-komputera-cooler-master-xg-750w-80-plus-platinum.html","Cooler Master XG 750W 80 Plus Platinum","829,00 zł","750 W","ATX","80 PLUS Platinum","Modularny","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/5/pr_2022_5_10_13_19_17_269_00.jpg"
"1698054443-102","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/1048769-zasilacz-do-komputera-lian-li-sp750-750w-80-plus-gold.html","Lian Li SP750 750W 80 Plus Gold","649,00 zł","750 W","SFX","89-92% przy 230V oraz 20-100% obciążeniu.","80 PLUS Gold","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/6/pr_2022_6_14_11_2_46_739_06.jpg"
"1698054449-103","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/1058676-zasilacz-do-komputera-seasonic-g12-650w-80-plus-gold.html","Seasonic G12 650W 80 Plus Gold","409,00 zł","650 W","ATX","87-90% przy 230V oraz 20-100% obciążeniu.","80 PLUS Gold","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/8/pr_2022_8_2_16_5_30_235_05.jpg"
"1698054455-104","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/1058681-zasilacz-do-komputera-seasonic-focus-spx-650w-80-plus-platinum.html","Seasonic FOCUS SPX 650W 80 Plus Platinum","749,00 zł","650 W","SFX","92% przy 230V oraz 20-100% obciążeniu.","80 PLUS Platinum","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/8/pr_2022_8_2_16_36_31_490_08.jpg"
"1698054461-105","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/1058691-zasilacz-do-komputera-seasonic-focus-spx-750w-80-plus-platinum.html","Seasonic FOCUS SPX 750W 80 Plus Platinum","799,00 zł","750 W","SFX","92% przy 230V oraz 20-100% obciążeniu.","80 PLUS Platinum","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/8/pr_2022_8_2_16_36_31_490_08.jpg"
"1698054468-106","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/1058911-zasilacz-do-komputera-seasonic-g12-550w-80-plus-gold.html","Seasonic G12 550W 80 Plus Gold","349,00 zł","550 W","ATX","87-90% przy 230V oraz 20-100% obciążeniu.","80 PLUS Gold","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/8/pr_2022_8_2_16_5_30_235_05.jpg"
"1698054474-107","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/1059013-zasilacz-do-komputera-seasonic-b12-550w-80-plus-bronze.html","Seasonic B12 550W 80 Plus Bronze","279,00 zł","550 W","ATX","82-85% przy 230V oraz 20-100% obciążeniu.","80 PLUS Bronze","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/8/pr_2022_8_3_7_22_47_374_05.jpg"
"1698054482-108","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/1060336-zasilacz-do-komputera-seasonic-prime-tx-1600w-80-plus-titanium.html","Seasonic Prime TX 1600W 80 Plus Titanium","2 599,00 zł","1600 W","ATX","94-96% przy 230V oraz 20-100% obciążeniu.","80 PLUS Titanium","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/8/pr_2022_8_2_16_24_18_573_06.jpg"
"1698054491-109","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/1060341-zasilacz-do-komputera-seasonic-prime-tx-1300w-80-plus-titanium.html","Seasonic Prime TX 1300W 80 Plus Titanium","2 299,00 zł","1300 W","ATX","94-96% przy 230V oraz 20-100% obciążeniu.","80 PLUS Titanium","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/8/pr_2022_8_2_16_24_18_573_06.jpg"
"1698054496-110","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/1066805-zasilacz-do-komputera-raijintek-ermis-450w-80-plus-bronze.html","Raijintek Ermis 450W 80 Plus Bronze","269,00 zł","450 W","SFX","82% przy 230V oraz 20-100% obciążeniu.","80 PLUS Bronze","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/8/pr_2022_8_26_14_59_48_448_04.jpg"
"1698054503-111","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/1066810-zasilacz-do-komputera-raijintek-ermis-550w-80-plus-bronze.html","Raijintek Ermis 550W 80 Plus Bronze","299,00 zł","550 W","SFX","82% przy 230V oraz 20-100% obciążeniu.","80 PLUS Bronze","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/8/pr_2022_8_26_15_5_14_724_02.jpg"
"1698054512-112","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/1069346-zasilacz-do-komputera-cougar-gex-1050w-80-plus-gold.html","Cougar GEX 1050W 80 Plus Gold","799,00 zł","1050 W","ATX","91% przy 230V oraz 20-100% obciążeniu.","80 PLUS Gold","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/9/pr_2022_9_5_9_1_46_986_00.jpg"
"1698054518-113","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/1069347-zasilacz-do-komputera-cougar-gex-850w-80-plus-gold.html","Cougar GEX 850W 80 Plus Gold","589,00 zł","850 W","ATX","88-91% przy 230V oraz 20-100% obciążeniu.","80 PLUS Gold","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/9/pr_2022_9_2_11_55_4_668_00.jpg"
"1698054526-114","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/1069380-zasilacz-do-komputera-cougar-xtc-650-80-plus.html","Cougar XTC 650 80 Plus","299,00 zł","650 W","ATX","84-86% przy 230V oraz 20-100% obciążeniu.","80 PLUS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/9/pr_2022_9_2_11_38_11_61_00.jpg"
"1698054532-115","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/1069391-zasilacz-do-komputera-cougar-xtc-550w-80-plus.html","Cougar XTC 550W 80 Plus","269,00 zł","550 W","ATX","86% przy 230V oraz 20-100% obciążeniu.","80 PLUS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/9/pr_2022_9_5_9_14_30_959_00.jpg"
"1698054538-116","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/1072983-zasilacz-do-komputera-fsp-fortron-hydro-ptm-pro-1200w-80-plus-platinum.html","FSP/Fortron HYDRO PTM PRO 1200W 80 Plus Platinum","999,00 zł","1200 W","ATX","92% przy 230V oraz 20-100% obciążeniu.","80 PLUS Platinum","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/9/pr_2022_9_14_10_56_14_965_00.jpg"
"1698054545-117","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/1075680-zasilacz-do-komputera-cougar-polar-1050w-80-plus-platinum.html","Cougar Polar 1050W 80 Plus Platinum","1 049,00 zł","1050 W","ATX","92% przy 230V oraz 20-100% obciążeniu.","80 PLUS Platinum","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/9/pr_2022_9_2_12_35_57_251_00.jpg"
"1698054553-118","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/1080009-zasilacz-do-komputera-xpg-cybercore-1300w-80-plus-platinum.html","XPG CYBERCORE 1300W 80 Plus Platinum","1 299,00 zł","1300 W","ATX","80 PLUS Platinum","Modularny","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/10/pr_2022_10_12_6_9_15_747_00.jpg"
"1698054562-119","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/1086912-zasilacz-do-komputera-fsp-fortron-hydro-gt-pro-850w-80-plus-gold-atx-30.html","FSP/Fortron Hydro GT PRO 850W 80 Plus Gold ATX 3.0","649,00 zł","850 W","ATX 3.0","90% przy 230V oraz 20-100% obciążeniu.","80 PLUS Gold","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/11/pr_2022_11_2_9_41_44_858_02.jpg"
"1698054568-120","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/1086920-zasilacz-do-komputera-fsp-fortron-hydro-ptm-pro-1200w-80-plus-platinum-atx-30.html","FSP/Fortron Hydro PTM PRO 1200W 80 Plus Platinum ATX 3.0","1 399,00 zł","1200 W","ATX 3.0","92% przy 230V oraz 20-100% obciążeniu.","80 PLUS Platinum","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/11/pr_2022_11_2_9_32_46_118_04.jpg"
"1698054574-121","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/1095194-zasilacz-do-komputera-thermaltake-toughpower-gf3-750w-80-plus-gold-atx-30.html","Thermaltake Toughpower GF3 750W 80 Plus Gold ATX 3.0","799,00 zł","750 W","ATX 3.0","90% przy 230V oraz 20-100% obciążeniu.","80 PLUS Gold","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/11/pr_2022_11_30_15_46_21_46_04.jpg"
"1698054581-122","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/1098614-zasilacz-do-komputera-nzxt-c750-v2-750w-80-plus-gold.html","NZXT C750 V2 750W 80 Plus Gold","549,00 zł","750 W","ATX","87-90% przy 230V oraz 20-100% obciążeniu.","80 PLUS Gold","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/12/pr_2022_12_7_16_0_48_697_00.jpg"
"1698054589-123","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/1111217-zasilacz-do-komputera-thermaltake-toughpower-gf3-1350w-80-plus-gold-atx-30.html","Thermaltake Toughpower GF3 1350W 80 Plus Gold ATX 3.0","1 299,00 zł","1350 W","ATX 3.0","90% przy 230V oraz 20-100% obciążeniu.","80 PLUS Gold","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/2/pr_2023_2_2_14_45_54_142_05.jpg"
"1698054594-124","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/1111520-zasilacz-do-komputera-fsp-fortron-hydro-g-pro-850w-80-plus-gold-atx-30.html","FSP/Fortron Hydro G PRO 850W 80 Plus Gold ATX 3.0","849,00 zł","850 W","ATX 3.0","90% przy 230V oraz 20-100% obciążeniu.","80 PLUS Gold","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/11/pr_2022_11_21_15_11_40_537_03.jpg"
"1698054600-125","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/1121396-zasilacz-do-komputera-cougar-xtc-argb-650w-80-plus.html","Cougar XTC ARGB 650W 80 Plus","349,00 zł","650 W","ATX","86% przy 230V oraz 20-100% obciążeniu.","80 PLUS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/2/pr_2023_2_27_13_54_33_712_03.jpg"
"1698054608-126","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/1122877-zasilacz-do-komputera-seasonic-vertex-gx-850w-80-plus-gold-atx-30.html","Seasonic VERTEX GX 850W 80 Plus Gold ATX 3.0","1 049,00 zł","850 W","ATX 3.0","90% przy 230V oraz 20-100% obciążeniu.","80 PLUS Gold","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/3/pr_2023_3_3_13_59_18_312_05.jpg"
"1698054614-127","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/1126933-zasilacz-do-komputera-montech-titan-850w-80-plus-gold-atx-30.html","Montech TITAN 850W 80 Plus Gold ATX 3.0","699,00 zł","850 W","ATX 3.0","90% przy 230V oraz 20-100% obciążeniu.","80 PLUS Gold","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/3/pr_2023_3_15_13_52_25_627_00.jpg"
"1698054621-128","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/1126959-zasilacz-do-komputera-montech-titan-1000w-80-plus-gold-atx-30.html","Montech TITAN 1000W 80 Plus Gold ATX 3.0","849,00 zł","1000 W","ATX 3.0","90% przy 230V oraz 20-100% obciążeniu.","80 PLUS Gold","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/3/pr_2023_3_15_13_55_13_449_01.jpg"
"1698054626-129","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/1126961-zasilacz-do-komputera-montech-titan-1200w-80-plus-gold-atx-30.html","Montech TITAN 1200W 80 Plus Gold ATX 3.0","1 099,00 zł","1200 W","ATX 3.0","90% przy 230V oraz 20-100% obciążeniu.","80 PLUS Gold","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/3/pr_2023_3_15_13_45_10_670_06.jpg"
